TEAM0,TEAM1,TEAM0_WIN,GP_DIFF,W_DIFF,L_DIFF,MIN_DIFF,FGM_DIFF,FGA_DIFF,FG_PCT_DIFF,FG3M_DIFF,FG3A_DIFF,FG3_PCT_DIFF,FTM_DIFF,FTA_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,REB_DIFF,AST_DIFF,TOV_DIFF,STL_DIFF,BLK_DIFF,BLKA_DIFF,PF_DIFF,PFD_DIFF,PTS_DIFF,PLUS_MINUS_DIFF,GP_RANK_DIFF,W_RANK_DIFF,L_RANK_DIFF,MIN_RANK_DIFF,FGM_RANK_DIFF,FGA_RANK_DIFF,FG_PCT_RANK_DIFF,FG3M_RANK_DIFF,FG3A_RANK_DIFF,FG3_PCT_RANK_DIFF,FTM_RANK_DIFF,FTA_RANK_DIFF,FT_PCT_RANK_DIFF,OREB_RANK_DIFF,DREB_RANK_DIFF,REB_RANK_DIFF,AST_RANK_DIFF,TOV_RANK_DIFF,STL_RANK_DIFF,BLK_RANK_DIFF,BLKA_RANK_DIFF,PF_RANK_DIFF,PFD_RANK_DIFF,PTS_RANK_DIFF,PLUS_MINUS_RANK_DIFF
Boston Celtics,Atlanta Hawks,0,0,21,-21,10.0,-143,-146,-0.009999999999999953,350,866,0.010000000000000009,-221,-335,0.02400000000000002,-41,108,67,-282,-300.0,-209,33,-108,-261,-125,-157,840.0,0,-13,-13,-8,10,6,5,-13,-14,-8,27,26,-12,1,-16,-6,14,-24,27,-7,-14,-20,19,3,-15
Brooklyn Nets,Atlanta Hawks,0,0,-14,14,0.0,-470,-468,-0.034999999999999976,6,143,-0.014000000000000012,-138,-204,0.01200000000000001,-80,-182,-262,-363,-29.0,-159,-67,54,134,-13,-1072,-490.0,0,9,9,0,24,23,15,-1,-7,7,20,19,-7,9,6,15,22,-3,18,14,12,6,6,24,8
Atlanta Hawks,Charlotte Hornets,1,0,21,-21,5.0,414,220,0.04199999999999998,42,-54,0.01899999999999996,203,279,-0.008000000000000007,-29,-28,-57,432,2.0,191,51,-32,29,75,1073,654.0,0,-12,-12,-4,-22,-14,-16,-4,4,-10,-26,-24,4,3,7,5,-24,1,-24,-9,-8,6,-14,-25,-9
Chicago Bulls,Atlanta Hawks,0,0,-1,1,-5.0,-13,17,-0.0020000000000000018,159,358,0.009000000000000008,-164,-283,0.03400000000000003,-149,260,111,-43,-70.0,-177,-33,14,-120,-189,-31,-35.0,0,2,2,4,2,-1,1,-11,-12,-5,24,25,-15,16,-22,-11,3,-6,22,6,3,-16,22,1,2
Atlanta Hawks,Cleveland Cavaliers,0,0,-24,24,5.0,-96,84,-0.019000000000000017,-196,-312,-0.025000000000000022,80,107,-0.0010000000000000009,57,-131,-74,122,191.0,128,69,42,77,10,-308,-875.0,0,14,14,-4,2,-2,12,12,11,16,-12,-11,1,-4,18,8,-7,23,-12,-15,7,11,-3,4,16
Dallas Mavericks,Atlanta Hawks,0,0,-1,1,-10.0,-113,-334,0.007000000000000006,-87,-288,0.006000000000000005,-14,-6,-0.0050000000000000044,-146,27,-119,-356,-122.0,-162,26,-28,-106,-31,-327,-5.0,0,2,2,9,7,16,-4,12,11,-3,3,2,6,15,-6,9,20,-13,19,-5,-3,-14,8,10,1
Denver Nuggets,Atlanta Hawks,1,0,10,-10,15.0,168,-168,0.03400000000000003,-123,-470,0.018000000000000016,-2,9,-0.0050000000000000044,-55,157,102,116,-104.0,-142,-17,17,-120,-1,211,412.0,0,-10,-10,-10,-5,11,-13,14,15,-13,1,-3,5,3,-20,-10,-1,-9,15,3,4,-16,1,-2,-9
Detroit Pistons,Atlanta Hawks,0,0,4,-4,5.0,-53,-165,0.0040000000000000036,-56,-188,0.0040000000000000036,-58,-74,-0.0010000000000000009,-43,64,21,-261,-55.0,-146,12,10,131,-12,-220,249.0,0,-2,-2,-5,4,9,-1,6,7,-1,8,7,2,2,-11,-1,13,-5,17,-3,2,5,5,7,-5
Golden State Warriors,Atlanta Hawks,0,0,8,-8,-10.0,-214,-116,-0.020999999999999963,157,386,0.006000000000000005,-89,-89,-0.01100000000000001,55,17,72,-40,-121.0,-27,-28,38,7,-40,-360,364.0,0,-5,-5,9,15,3,11,-10,-13,-2,14,9,7,-4,-4,-7,2,-12,2,5,9,1,10,12,-8
Houston Rockets,Atlanta Hawks,0,0,12,-12,0.0,-72,131,-0.01699999999999996,-69,-151,-0.0050000000000000044,-106,-49,-0.03700000000000003,226,99,325,-512,-134.0,-109,-8,64,-7,14,-319,463.0,0,-12,-12,0,5,-4,7,8,5,3,17,4,12,-8,-15,-13,26,-15,8,1,13,-2,-3,8,-11
Atlanta Hawks,Indiana Pacers,1,0,-10,10,-15.0,-18,202,-0.016000000000000014,26,155,-0.010000000000000009,77,132,-0.014000000000000012,222,-3,219,28,191.0,104,-29,37,31,22,67,-276.0,0,10,10,10,1,-12,11,-2,-6,9,-11,-14,9,-20,1,-14,-1,23,-7,6,5,7,-7,-2,6
Atlanta Hawks,LA Clippers,1,0,-10,10,-5.0,147,453,-0.010000000000000009,85,351,-0.015000000000000013,56,124,-0.02200000000000002,133,-75,58,362,53.0,25,49,51,61,105,435,-475.0,0,10,10,5,-11,-21,8,-11,-14,11,-7,-13,11,-14,13,-3,-21,4,-1,-8,9,8,-18,-15,12
Los Angeles Lakers,Atlanta Hawks,0,0,10,-10,-10.0,-200,-521,0.007000000000000006,-15,-108,0.008000000000000007,22,2,0.010000000000000009,-182,12,-170,-295,-128.0,-165,-52,-59,-149,13,-393,193.0,0,-10,-10,9,14,25,-5,1,4,-4,-1,-1,-5,18,-3,12,16,-14,20,10,-11,-17,-2,14,-4
Memphis Grizzlies,Atlanta Hawks,1,0,8,-8,-15.0,114,126,0.007000000000000006,34,17,0.009000000000000008,27,8,0.01100000000000001,82,144,226,-96,12.0,-72,43,47,147,90,289,491.0,0,-5,-5,15,-4,-3,-6,-3,-2,-7,-2,-2,-6,-6,-19,-12,6,2,5,-9,10,7,-6,-3,-13
Atlanta Hawks,Miami Heat,1,0,3,-3,-30.0,238,390,0.006999999999999951,-17,29,-0.009000000000000008,163,246,-0.016000000000000014,176,-85,91,260,159.0,130,105,21,289,173,622,-139.0,0,-4,-4,13,-18,-19,-4,2,-1,6,-23,-23,10,-17,14,-7,-12,18,-13,-18,2,21,-21,-19,3
