TEAM0,TEAM1,RECOMMENDED_BET,CONFIDENCE
Phoenix Suns,Golden State Warriors,Golden State Warriors,0.9999992
Atlanta Hawks,Boston Celtics,Atlanta Hawks,0.9999989
Sacramento Kings,Miami Heat,Sacramento Kings,0.9999989
Sacramento Kings,Brooklyn Nets,Sacramento Kings,0.9999989
LA Clippers,Portland Trail Blazers,LA Clippers,0.9999989
LA Clippers,Philadelphia 76ers,LA Clippers,0.9999989
LA Clippers,Orlando Magic,LA Clippers,0.9999989
Sacramento Kings,Charlotte Hornets,Sacramento Kings,0.9999989
LA Clippers,New Orleans Pelicans,LA Clippers,0.9999989
Sacramento Kings,Dallas Mavericks,Sacramento Kings,0.9999989
LA Clippers,Miami Heat,LA Clippers,0.9999989
Sacramento Kings,Detroit Pistons,Sacramento Kings,0.9999989
Sacramento Kings,Golden State Warriors,Sacramento Kings,0.9999989
Sacramento Kings,Houston Rockets,Sacramento Kings,0.9999989
Sacramento Kings,LA Clippers,Sacramento Kings,0.9999989
Sacramento Kings,Los Angeles Lakers,Sacramento Kings,0.9999989
LA Clippers,Charlotte Hornets,LA Clippers,0.9999989
LA Clippers,Utah Jazz,LA Clippers,0.9999989
LA Clippers,Brooklyn Nets,LA Clippers,0.9999989
Sacramento Kings,Milwaukee Bucks,Sacramento Kings,0.9999989
Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,0.9999989
Indiana Pacers,Washington Wizards,Indiana Pacers,0.9999989
Indiana Pacers,Utah Jazz,Indiana Pacers,0.9999989
Indiana Pacers,Toronto Raptors,Indiana Pacers,0.9999989
Indiana Pacers,San Antonio Spurs,Indiana Pacers,0.9999989
