GAME_ID,TEAM0_TEAM_ABBREVIATION,TEAM0_PTS,TEAM0_REB,TEAM0_AST,TEAM0_FG_PCT,TEAM0_TO,TEAM0_PLUS_MINUS,TEAM0_TEAM_ORDER,TEAM1_TEAM_ABBREVIATION,TEAM1_PTS,TEAM1_REB,TEAM1_AST,TEAM1_FG_PCT,TEAM1_TO,TEAM1_PLUS_MINUS,TEAM1_TEAM_ORDER,TEAM0_WIN,TEAM0_GAME_DATE,TEAM1_GAME_DATE,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO
22300001,IND,121.0,40.0,28.0,0.523,,,0,CLE,116.0,35.0,27.0,0.524,,,1,1,2023-11-03,2023-11-03,1442.601583,1522.929642,1442.601583,1522.929642,1442.601583,1522.929642,1442.601583,1522.929642,1442.601583,1522.929642
22300002,MIL,110.0,41.0,24.0,0.427,,,0,NYK,105.0,56.0,18.0,0.396,,,1,1,2023-11-03,2023-11-03,1523.381814,1572.381829,1523.381814,1572.381829,1523.381814,1572.381829,1523.381814,1572.381829,1523.381814,1572.381829
22300003,MIA,121.0,37.0,35.0,0.6,,,0,WAS,114.0,30.0,33.0,0.568,,,1,1,2023-11-03,2023-11-03,1546.371573,1433.075203,1546.371573,1433.075203,1546.371573,1433.075203,1546.371573,1433.075203,1546.371573,1433.075203
22300004,BKN,109.0,39.0,32.0,0.458,,,0,CHI,107.0,42.0,21.0,0.483,,,1,1,2023-11-03,2023-11-03,,1498.97768,,1498.97768,,1498.97768,,1498.97768,,1498.97768
22300005,GSW,141.0,38.0,36.0,0.533,,,0,OKC,139.0,32.0,26.0,0.602,,,1,1,2023-11-03,2023-11-03,1606.752664,1517.859882,1606.752664,1517.859882,1606.752664,1517.859882,1606.752664,1517.859882,1606.752664,1517.859882
22300006,DEN,125.0,51.0,33.0,0.527,,,0,DAL,114.0,34.0,27.0,0.477,,,1,1,2023-11-03,2023-11-03,1655.697096,1500.609262,1655.697096,1500.609262,1655.697096,1500.609262,1655.697096,1500.609262,1655.697096,1500.609262
22300007,POR,115.0,50.0,19.0,0.406,,,0,MEM,113.0,48.0,29.0,0.49,,,1,1,2023-11-03,2023-11-03,1378.686205,1486.081443,1378.686205,1486.081443,1378.686205,1486.081443,1378.686205,1486.081443,1378.686205,1486.081443
22300008,PHI,114.0,46.0,23.0,0.422,,,0,DET,106.0,48.0,28.0,0.465,,,1,1,2023-11-10,2023-11-10,1634.904513,1331.015102,1634.904513,1331.015102,1634.904513,1331.015102,1634.904513,1331.015102,1634.904513,1331.015102
22300009,CHA,124.0,67.0,31.0,0.455,,,0,WAS,117.0,36.0,28.0,0.489,,,1,1,2023-11-10,2023-11-10,,1443.394658,,1443.394658,,1443.394658,,1443.394658,,1443.394658
22300010,BOS,121.0,52.0,29.0,0.436,,,0,BKN,107.0,46.0,26.0,0.447,,,1,1,2023-11-10,2023-11-10,1652.550291,,1652.550291,,1652.550291,,1652.550291,,1652.550291,
22300011,HOU,104.0,42.0,20.0,0.409,,,0,NOP,101.0,49.0,12.0,0.453,,,1,1,2023-11-10,2023-11-10,1429.616413,1495.52303,1429.616413,1495.52303,1429.616413,1495.52303,1429.616413,1495.52303,1429.616413,1495.52303
22300012,UTA,127.0,38.0,28.0,0.539,,,0,MEM,121.0,37.0,23.0,0.455,,,1,1,2023-11-10,2023-11-10,1407.457619,1483.943671,1407.457619,1483.943671,1407.457619,1483.943671,1407.457619,1483.943671,1407.457619,1483.943671
22300013,MIN,117.0,51.0,23.0,0.494,,,0,SAS,110.0,38.0,29.0,0.467,,,1,1,2023-11-10,2023-11-10,1562.409585,1366.97738,1562.409585,1366.97738,1562.409585,1366.97738,1562.409585,1366.97738,1562.409585,1366.97738
22300014,DAL,144.0,41.0,30.0,0.52,,,0,LAC,126.0,47.0,21.0,0.489,,,1,1,2023-11-10,2023-11-10,1503.647701,1516.224177,1503.647701,1516.224177,1503.647701,1516.224177,1503.647701,1516.224177,1503.647701,1516.224177
22300015,LAL,122.0,43.0,27.0,0.5,,,0,PHX,119.0,52.0,22.0,0.447,,,1,1,2023-11-10,2023-11-10,1522.99263,,1522.99263,,1522.99263,,1522.99263,,1522.99263,
