GAME_ID,TEAM0_TEAM_ABBREVIATION,TEAM0_PTS,TEAM0_REB,TEAM0_AST,TEAM0_FG_PCT,TEAM0_TO,TEAM0_PLUS_MINUS,TEAM0_TEAM_ORDER,TEAM1_TEAM_ABBREVIATION,TEAM1_PTS,TEAM1_REB,TEAM1_AST,TEAM1_FG_PCT,TEAM1_TO,TEAM1_PLUS_MINUS,TEAM1_TEAM_ORDER,TEAM0_WIN,TEAM0_GAME_DATE,TEAM1_GAME_DATE,TEAM0_ELO,TEAM1_ELO
22400001,ATL,117.0,44.0,35.0,0.505,,,0,BOS,116.0,34.0,28.0,0.507,,,1,1,2024-11-12,2024-11-12,,
22400002,DET,123.0,56.0,32.0,0.467,,,0,MIA,121.0,43.0,25.0,0.465,,,1,1,2024-11-12,2024-11-12,,
22400003,ORL,114.0,43.0,25.0,0.462,,,0,CHA,89.0,48.0,22.0,0.405,,,1,1,2024-11-12,2024-11-12,,
22400004,NYK,111.0,47.0,31.0,0.494,,,0,PHI,99.0,40.0,19.0,0.373,,,1,1,2024-11-12,2024-11-12,,
22400005,MIL,99.0,47.0,25.0,0.404,,,0,TOR,85.0,54.0,20.0,0.349,,,1,1,2024-11-12,2024-11-12,,
22400006,PHX,120.0,42.0,21.0,0.5,,,0,UTA,112.0,39.0,32.0,0.489,,,1,1,2024-11-12,2024-11-12,,
22400007,GSW,120.0,50.0,29.0,0.479,,,0,DAL,117.0,40.0,26.0,0.524,,,1,1,2024-11-12,2024-11-12,,
22400008,POR,122.0,39.0,30.0,0.512,,,0,MIN,108.0,32.0,22.0,0.507,,,1,1,2024-11-12,2024-11-12,,
22400009,MIA,124.0,36.0,27.0,0.517,,,0,IND,111.0,39.0,28.0,0.512,,,1,1,2024-11-15,2024-11-15,,
22400010,ORL,98.0,43.0,15.0,0.436,,,0,PHI,86.0,34.0,19.0,0.403,,,1,1,2024-11-15,2024-11-15,,
22400011,DET,99.0,56.0,24.0,0.411,,,0,TOR,95.0,53.0,21.0,0.361,,,1,1,2024-11-15,2024-11-15,,
22400012,ATL,129.0,55.0,28.0,0.469,,,0,WAS,117.0,52.0,28.0,0.406,,,1,1,2024-11-15,2024-11-15,,
22400013,CLE,144.0,40.0,33.0,0.548,,,0,CHI,126.0,36.0,32.0,0.511,,,1,1,2024-11-15,2024-11-15,,
22400014,NYK,124.0,45.0,25.0,0.53,,,0,BKN,122.0,37.0,27.0,0.438,,,1,1,2024-11-15,2024-11-15,,
22400015,LAL,120.0,41.0,27.0,0.5,,,0,SAS,115.0,40.0,32.0,0.489,,,1,1,2024-11-15,2024-11-15,,
22400016,HOU,125.0,48.0,31.0,0.484,,,0,LAC,104.0,51.0,12.0,0.378,,,1,1,2024-11-15,2024-11-15,,
