TEAM_ABBREVIATION_TEAM0,GAME_DATE,ELO_TEAM0,SCORE_TEAM0,IS_HOME_TEAM0,TEAM_ORDER_TEAM0,TEAM_ABBREVIATION_TEAM1,ELO_TEAM1,SCORE_TEAM1,IS_HOME_TEAM1,TEAM_ORDER_TEAM1
DEN,2025-01-01,1592.839072,139,1,0,ATL,1512.982916,120,1,1
DEN,2025-01-01,1592.839072,139,1,0,DEN,1592.839072,139,0,1
DEN,2025-01-01,1592.839072,139,1,0,ORL,1549.455058,96,1,1
DEN,2025-01-01,1592.839072,139,1,0,DET,1427.194001,105,0,1
DEN,2025-01-01,1592.839072,139,1,0,DAL,1613.209591,99,1,1
DEN,2025-01-01,1592.839072,139,1,0,HOU,1591.609467,110,0,1
DEN,2025-01-01,1592.839072,139,1,0,NOP,1335.557593,108,1,1
DEN,2025-01-01,1592.839072,139,1,0,MIA,1556.549834,119,0,1
DEN,2025-01-01,1592.839072,139,1,0,UTA,1372.436361,103,1,1
DEN,2025-01-01,1592.839072,139,1,0,NYK,1661.170215,119,0,1
DEN,2025-01-01,1592.839072,139,1,0,PHI,1487.410212,107,1,1
DEN,2025-01-01,1592.839072,139,1,0,SAC,1484.041421,113,0,1
DEN,2025-01-01,1592.839072,139,1,0,BRK,1400.32829,113,1,1
DEN,2025-01-01,1592.839072,139,1,0,TOR,1323.89277,130,0,1
DEN,2025-01-01,1592.839072,139,1,0,CHI,1458.048986,107,1,1
DEN,2025-01-01,1592.839072,139,1,0,WAS,1254.597628,125,0,1
ATL,2025-01-01,1512.982916,120,0,0,ATL,1512.982916,120,1,1
ATL,2025-01-01,1512.982916,120,0,0,DEN,1592.839072,139,0,1
ATL,2025-01-01,1512.982916,120,0,0,ORL,1549.455058,96,1,1
ATL,2025-01-01,1512.982916,120,0,0,DET,1427.194001,105,0,1
ATL,2025-01-01,1512.982916,120,0,0,DAL,1613.209591,99,1,1
ATL,2025-01-01,1512.982916,120,0,0,HOU,1591.609467,110,0,1
ATL,2025-01-01,1512.982916,120,0,0,NOP,1335.557593,108,1,1
ATL,2025-01-01,1512.982916,120,0,0,MIA,1556.549834,119,0,1
ATL,2025-01-01,1512.982916,120,0,0,UTA,1372.436361,103,1,1
ATL,2025-01-01,1512.982916,120,0,0,NYK,1661.170215,119,0,1
ATL,2025-01-01,1512.982916,120,0,0,PHI,1487.410212,107,1,1
ATL,2025-01-01,1512.982916,120,0,0,SAC,1484.041421,113,0,1
ATL,2025-01-01,1512.982916,120,0,0,BRK,1400.32829,113,1,1
ATL,2025-01-01,1512.982916,120,0,0,TOR,1323.89277,130,0,1
ATL,2025-01-01,1512.982916,120,0,0,CHI,1458.048986,107,1,1
ATL,2025-01-01,1512.982916,120,0,0,WAS,1254.597628,125,0,1
DET,2025-01-01,1427.194001,105,1,0,ATL,1512.982916,120,1,1
DET,2025-01-01,1427.194001,105,1,0,DEN,1592.839072,139,0,1
DET,2025-01-01,1427.194001,105,1,0,ORL,1549.455058,96,1,1
DET,2025-01-01,1427.194001,105,1,0,DET,1427.194001,105,0,1
DET,2025-01-01,1427.194001,105,1,0,DAL,1613.209591,99,1,1
DET,2025-01-01,1427.194001,105,1,0,HOU,1591.609467,110,0,1
DET,2025-01-01,1427.194001,105,1,0,NOP,1335.557593,108,1,1
DET,2025-01-01,1427.194001,105,1,0,MIA,1556.549834,119,0,1
DET,2025-01-01,1427.194001,105,1,0,UTA,1372.436361,103,1,1
DET,2025-01-01,1427.194001,105,1,0,NYK,1661.170215,119,0,1
DET,2025-01-01,1427.194001,105,1,0,PHI,1487.410212,107,1,1
DET,2025-01-01,1427.194001,105,1,0,SAC,1484.041421,113,0,1
DET,2025-01-01,1427.194001,105,1,0,BRK,1400.32829,113,1,1
DET,2025-01-01,1427.194001,105,1,0,TOR,1323.89277,130,0,1
DET,2025-01-01,1427.194001,105,1,0,CHI,1458.048986,107,1,1
DET,2025-01-01,1427.194001,105,1,0,WAS,1254.597628,125,0,1
ORL,2025-01-01,1549.455058,96,0,0,ATL,1512.982916,120,1,1
ORL,2025-01-01,1549.455058,96,0,0,DEN,1592.839072,139,0,1
ORL,2025-01-01,1549.455058,96,0,0,ORL,1549.455058,96,1,1
ORL,2025-01-01,1549.455058,96,0,0,DET,1427.194001,105,0,1
ORL,2025-01-01,1549.455058,96,0,0,DAL,1613.209591,99,1,1
ORL,2025-01-01,1549.455058,96,0,0,HOU,1591.609467,110,0,1
ORL,2025-01-01,1549.455058,96,0,0,NOP,1335.557593,108,1,1
ORL,2025-01-01,1549.455058,96,0,0,MIA,1556.549834,119,0,1
ORL,2025-01-01,1549.455058,96,0,0,UTA,1372.436361,103,1,1
ORL,2025-01-01,1549.455058,96,0,0,NYK,1661.170215,119,0,1
ORL,2025-01-01,1549.455058,96,0,0,PHI,1487.410212,107,1,1
ORL,2025-01-01,1549.455058,96,0,0,SAC,1484.041421,113,0,1
ORL,2025-01-01,1549.455058,96,0,0,BRK,1400.32829,113,1,1
ORL,2025-01-01,1549.455058,96,0,0,TOR,1323.89277,130,0,1
ORL,2025-01-01,1549.455058,96,0,0,CHI,1458.048986,107,1,1
ORL,2025-01-01,1549.455058,96,0,0,WAS,1254.597628,125,0,1
HOU,2025-01-01,1591.609467,110,1,0,ATL,1512.982916,120,1,1
HOU,2025-01-01,1591.609467,110,1,0,DEN,1592.839072,139,0,1
HOU,2025-01-01,1591.609467,110,1,0,ORL,1549.455058,96,1,1
HOU,2025-01-01,1591.609467,110,1,0,DET,1427.194001,105,0,1
HOU,2025-01-01,1591.609467,110,1,0,DAL,1613.209591,99,1,1
HOU,2025-01-01,1591.609467,110,1,0,HOU,1591.609467,110,0,1
HOU,2025-01-01,1591.609467,110,1,0,NOP,1335.557593,108,1,1
HOU,2025-01-01,1591.609467,110,1,0,MIA,1556.549834,119,0,1
HOU,2025-01-01,1591.609467,110,1,0,UTA,1372.436361,103,1,1
HOU,2025-01-01,1591.609467,110,1,0,NYK,1661.170215,119,0,1
HOU,2025-01-01,1591.609467,110,1,0,PHI,1487.410212,107,1,1
HOU,2025-01-01,1591.609467,110,1,0,SAC,1484.041421,113,0,1
HOU,2025-01-01,1591.609467,110,1,0,BRK,1400.32829,113,1,1
HOU,2025-01-01,1591.609467,110,1,0,TOR,1323.89277,130,0,1
HOU,2025-01-01,1591.609467,110,1,0,CHI,1458.048986,107,1,1
HOU,2025-01-01,1591.609467,110,1,0,WAS,1254.597628,125,0,1
DAL,2025-01-01,1613.209591,99,0,0,ATL,1512.982916,120,1,1
DAL,2025-01-01,1613.209591,99,0,0,DEN,1592.839072,139,0,1
DAL,2025-01-01,1613.209591,99,0,0,ORL,1549.455058,96,1,1
DAL,2025-01-01,1613.209591,99,0,0,DET,1427.194001,105,0,1
DAL,2025-01-01,1613.209591,99,0,0,DAL,1613.209591,99,1,1
DAL,2025-01-01,1613.209591,99,0,0,HOU,1591.609467,110,0,1
DAL,2025-01-01,1613.209591,99,0,0,NOP,1335.557593,108,1,1
DAL,2025-01-01,1613.209591,99,0,0,MIA,1556.549834,119,0,1
DAL,2025-01-01,1613.209591,99,0,0,UTA,1372.436361,103,1,1
DAL,2025-01-01,1613.209591,99,0,0,NYK,1661.170215,119,0,1
DAL,2025-01-01,1613.209591,99,0,0,PHI,1487.410212,107,1,1
DAL,2025-01-01,1613.209591,99,0,0,SAC,1484.041421,113,0,1
DAL,2025-01-01,1613.209591,99,0,0,BRK,1400.32829,113,1,1
DAL,2025-01-01,1613.209591,99,0,0,TOR,1323.89277,130,0,1
DAL,2025-01-01,1613.209591,99,0,0,CHI,1458.048986,107,1,1
DAL,2025-01-01,1613.209591,99,0,0,WAS,1254.597628,125,0,1
MIA,2025-01-01,1556.549834,119,1,0,ATL,1512.982916,120,1,1
MIA,2025-01-01,1556.549834,119,1,0,DEN,1592.839072,139,0,1
MIA,2025-01-01,1556.549834,119,1,0,ORL,1549.455058,96,1,1
MIA,2025-01-01,1556.549834,119,1,0,DET,1427.194001,105,0,1
MIA,2025-01-01,1556.549834,119,1,0,DAL,1613.209591,99,1,1
MIA,2025-01-01,1556.549834,119,1,0,HOU,1591.609467,110,0,1
MIA,2025-01-01,1556.549834,119,1,0,NOP,1335.557593,108,1,1
MIA,2025-01-01,1556.549834,119,1,0,MIA,1556.549834,119,0,1
MIA,2025-01-01,1556.549834,119,1,0,UTA,1372.436361,103,1,1
